senseval2.d000.s000.t000	1) the products of human creativity; works of art collectively.
semeval2015.d000.s015.t003	1) any period of seven consecutive days
semeval2015.d000.s015.t005	3) (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between
semeval2015.d000.s015.t006	1) persist for a specified period of time.
semeval2015.d000.s015.t007	1) a unit of time equal to 60 seconds or 1/60th of an hour
semeval2015.d000.s016.t000	1) cut down on; make a reduction in
semeval2015.d000.s016.t001	1) a secondary and usually adverse effect of a drug or therapy.This definition is the most suitable for the context of the
semeval2015.d000.s016.t002	1) a person who requires medical care.
semeval2015.d000.s016.t006	1) a subdivision of a particular kind of thingIn the given sentence, "folic acid" is a type of
semeval2015.d000.s016.t008	3) the act of putting a liquid into the body by means of a syringe.This definition accurately describes the process of
semeval2015.d000.s016.t010	1) care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
semeval2015.d000.s017.t000	The most suitable dictionary definition which identifies the meaning of "given" among the given options is:3) transfer possession of something
semeval2015.d000.s017.t001	2) (medicine) something that treats or prevents or alleviates the symptoms of disease
semeval2015.d000.s017.t002	2) stop (someone or something) from doing something or being in a certain state.This definition best fits the context of
semeval2015.d000.s017.t004	1) a substance that is fluid at room temperature and pressure.This definition is more suitable because in the context of the sentence
semeval2015.d000.s017.t005	2) stop (someone or something) from doing something or being in a certain state.This definition best describes the meaning of
semeval2015.d000.s017.t006	2) depletion of bodily fluids.This definition accurately describes dehydration, which is the loss of fluids in the body, often leading
semeval2015.d000.s017.t008	The most suitable definition for the word "given" in the context of the sentence is:3) transfer possession of something concrete
semeval2015.d000.s017.t009	1) earlier in time; previously.In this context, "before" is used to indicate a sequence of events, where
semeval2015.d000.s017.t010	1) happening at a time subsequent to a reference time
semeval2015.d000.s017.t011	2) the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
semeval2015.d000.s018.t000	1) care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
semeval2015.d000.s018.t001	2) act later than planned, scheduled, or required.In this sentence, "delayed" is used to mean postponed
semeval2015.d000.s018.t002	1) put an end to a state or an activity.
semeval2015.d000.s018.t003	2) the quantity of an active agent (substance or radiation) taken in or absorbed at any one time.This definition
semeval2015.d000.s018.t004	1) cut down on; make a reduction in
semeval2015.d000.s018.t005	1) a person who requires medical care.This definition most closely matches the meaning of "patients" in the given sentence,
semeval2015.d000.s018.t006	1) the number of red and white corpuscles in a blood sample
semeval2015.d000.s018.t007	1) not normal; not typical or usual or regular or conforming to a norm
semeval2015.d000.s018.t008	12) suffer from; be ill with
semeval2015.d000.s018.t009	3) established beyond doubt or question; definitely known.In this sentence, "certain" is used to indicate that there
semeval2015.d000.s018.t010	4) very unusual; different in character or quality from the normal or expected; - Lance Morrow
semeval2015.d000.s018.t011	1) a secondary and usually adverse effect of a drug or therapy
semeval2015.d000.s019.t002	1) the act of using
semeval2015.d000.s019.t003	1) a person who requires medical care.This definition directly relates to the context of the sentence, where "Alimta
semeval2015.d000.s019.t004	1) being within reasonable or average limits; not excessive or extreme
semeval2015.d000.s019.t005	1) intensely or extremely bad or unpleasant in degree or quality
semeval2015.d000.s019.t007	3) a source of difficultyThis definition is the most suitable because it refers to a situation or condition that causes difficulties or
semeval2015.d000.s020.t000	1) (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or
semeval2015.d000.s020.t001	4) a collection of facts from which conclusions may be drawn.This definition captures the meaning of "information" in the context
semeval2015.d000.s020.t002	1) perceive by sight or have the ability to perceive by sight.This definition best captures the meaning of "see" in
semeval2015.d000.s020.t004	2) an artifact that has been created by someone or some process.This definition best fits the context of the sentence, as
semeval2015.d000.s020.t006	9) one of the portions into which something is regarded as divided and which together constitute a whole.In this context, "
semeval2015.d000.s022.t000	11) (used of verbs (e.g. `to run') and participial adjectives (e.g. `running
semeval2015.d000.s022.t001	1) the real physical matter of which a person or thing consistsThis definition best fits the meaning of "substance"
semeval2015.d000.s022.t003	2) (medicine) something that treats or prevents or alleviates the symptoms of disease
semeval2015.d000.s022.t004	2) (medicine) something that treats or prevents or alleviates the symptoms of disease
semeval2015.d000.s022.t005	1) cause to die; put to death, usually intentionally or knowingly.This definition accurately describes the meaning of "kills"
semeval2015.d000.s022.t006	2) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s022.t007	1) separate into parts or portions
semeval2015.d000.s023.t000	1) the entire structure of an organism (an animal, plant, or human being).
semeval2015.d000.s023.t001	11) change in nature, purpose, or function; undergo a chemical changeThis definition best describes the meaning of "converted
semeval2015.d000.s023.t002	11) (used of verbs (e.g. `to run') and participial adjectives (e.g. `running
semeval2015.d000.s023.t003	12) (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state
semeval2015.d000.s023.t004	2) hinder or prevent the progress or accomplishment of.This definition best matches the context of the sentence, as pemetrex
semeval2015.d000.s023.t007	1) connected by participation or association or useIn the given sentence, "involved" means that the enzymes are participating
semeval2015.d000.s023.t008	3) cause to happen, occur or exist.In this sentence, "producing" means causing something to happen or occur
semeval2015.d000.s023.t010	1) a single undivided natural thing occurring in the composition of something else.This definition fits the context of the sentence
semeval2015.d000.s023.t013	2) of or relating to or produced by or being a gene.
semeval2015.d000.s023.t014	1) the tangible substance that goes into the makeup of a physical object
semeval2015.d000.s023.t015	2) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s024.t000	2) be a student; follow a course of study; be enrolled at an institute of learning.This definition best captures the
semeval2015.d000.s025.t000	1) care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury).
semeval2015.d000.s025.t004	1) consider in detail and subject to an analysis in order to discover essential features or meaning.
semeval2015.d000.s025.t005	2) (of a clause) capable of standing syntactically alone as a complete sentence.In this context, "main
semeval2015.d000.s025.t006	3) a written document describing the findings of some individual or group.In this sentence, "study" refers to a written
semeval2015.d000.s025.t007	1) a person who requires medical care.This definition most accurately identifies the meaning of "patients" in the given sentence,
semeval2015.d000.s025.t012	1) earlier in time; previously
semeval2015.d000.s026.t000	1) a phenomenon that follows and is caused by some previous phenomenonThis definition is the most suitable for the sentence, as
semeval2015.d000.s026.t002	1) examine and note the similarities or differences of
semeval2015.d000.s027.t000	1) care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury).
semeval2015.d000.s027.t001	2) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s027.t003	6) a symptom caused by an illness or a drug.In this context, "effects" refers to the symptoms or outcomes
semeval2015.d000.s027.t004	1) examine and note the similarities or differences of.
semeval2015.d000.s027.t006	2) (medicine) something that treats or prevents or alleviates the symptoms of disease
semeval2015.d000.s027.t007	3) a written document describing the findings of some individual or group.In this context, the word "study" refers to
semeval2015.d000.s027.t008	2) engage as a participant.In the sentence, "involving" is used to indicate that the study is including
semeval2015.d000.s027.t009	1) a person who requires medical care.
semeval2015.d000.s027.t010	2) to a restricted area of the body.In this context, "locally" is used to indicate that the disease
semeval2015.d000.s027.t011	2) comparatively late in a course of developmentThis definition is the most suitable to describe "advanced" in the context of
semeval2015.d000.s027.t016	3) a verb tense that expresses actions or states in the past.This definition is the most suitable because the sentence mentions "
semeval2015.d000.s028.t001	1) examine and note the similarities or differences of
semeval2015.d000.s028.t003	2) (medicine) something that treats or prevents or alleviates the symptoms of disease.
semeval2015.d000.s028.t005	3) a written document describing the findings of some individual or group.This definition fits the context of the sentence, as it
semeval2015.d000.s028.t006	2) engage as a participant.This definition best fits the context of the sentence, as it implies that the study "in
semeval2015.d000.s028.t007	1) a person who requires medical care.This definition directly corresponds to the context of the sentence, where "patients" refers
semeval2015.d000.s028.t012	1) the time that has elapsedThis definition accurately describes the meaning of "past" in the given sentence, as it
semeval2015.d000.s029.t000	3) a written document describing the findings of some individual or group.
semeval2015.d000.s029.t001	1) most important element
semeval2015.d000.s029.t002	2) how much there is or how many there are of something that you can quantify.This definition is most suitable because it
semeval2015.d000.s029.t004	1) for an extended time or at a distant time.
semeval2015.d000.s029.t005	1) a person who requires medical care.
semeval2015.d000.s029.t006	2) continue in existence after (an adversity, etc.)This definition best captures the meaning of "survived" in
semeval2015.d000.s030.t000	2) something that aids or promotes well-being.
semeval2015.d000.s030.t001	3) establish the validity of something, as by an example, explanation or experiment.This definition best matches the context of the
semeval2015.d000.s030.t002	2) applying the mind to learning and understanding a subject (especially by reading)In this context, "studies" refers
semeval2015.d000.s031.t000	2) make bigger or more.This definition matches the meaning of "increased" in the sentence, which indicates that Al
semeval2015.d000.s031.t001	1) a state of surviving; remaining alive.
semeval2015.d000.s031.t002	5) the continuum of experience in which events pass from the future through the past.This definition best captures the meaning of "
semeval2015.d000.s031.t003	1) a person who requires medical care.This definition best matches the context of the sentence, where "patients" refers to
semeval2015.d000.s032.t000	1) a person who requires medical care.
semeval2015.d000.s032.t002	2) continue in existence after (an adversity, etc.)This definition best captures the meaning of "survived" in
semeval2015.d000.s032.t003	3) an intermediate scale value regarded as normal or usual.This definition best fits the context of the sentence, as it refers
semeval2015.d000.s032.t004	1) one of the twelve divisions of the calendar year.
semeval2015.d000.s032.t005	1) examine and note the similarities or differences of.
semeval2015.d000.s032.t006	1) one of the twelve divisions of the calendar year.In this sentence, "months" refers to a unit of time
semeval2015.d000.s033.t000	1) care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury).
semeval2015.d000.s033.t001	1) a person who requires medical care.
semeval2015.d000.s033.t002	2) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s033.t005	2) able to accomplish a purpose; functioning effectively; -G.B.ShawThis definition best captures the meaning of "
semeval2015.d000.s034.t000	1) a person who requires medical care.This definition best matches the context of the sentence, as it refers to individuals who
semeval2015.d000.s034.t003	3) a verb tense that expresses actions or states in the past.In this context, "past" is used to indicate
semeval2015.d000.s034.t004	5) relating to or constituting the most frequent value in a distributionThis definition most accurately describes "average" as referring
semeval2015.d000.s034.t005	1) a state of surviving; remaining alive
semeval2015.d000.s034.t006	5) the continuum of experience in which events pass from the past through the present to the future.This definition best fits the
semeval2015.d000.s034.t007	1) one of the twelve divisions of the calendar year.In this sentence, "months" refers to a unit of time
semeval2015.d000.s034.t008	1) examine and note the similarities or differences of.
semeval2015.d000.s034.t009	Both definitions 1 and 2 could be suitable, but since "months" in the sentence refers to a unit of time
semeval2015.d000.s035.t000	1) a person who requires medical care.
semeval2015.d000.s035.t004	1) the time that has elapsed.In this sentence, "past" refers to a period of time that has already occurred
semeval2015.d000.s035.t005	5) relating to or constituting the most frequent value in a distribution
semeval2015.d000.s035.t006	1) a state of surviving; remaining alive.
semeval2015.d000.s035.t007	5) the continuum of experience in which events pass from the future through the past
semeval2015.d000.s035.t008	2) a time unit of approximately 30 days.Although the sentence does not explicitly state the exact duration of 10.
semeval2015.d000.s035.t009	1) any number of entities (members) considered as a unitThis definition is the most suitable for the sentence, as
semeval2015.d000.s036.t000	2) by contrast; on the other hand.This definition captures the meaning of "However" as a transition word used to
semeval2015.d000.s036.t001	3) a written document describing the findings of some individual or group.
semeval2015.d000.s036.t002	1) a person who requires medical care.This definition best fits the context of the sentence, as "patients" refers to
semeval2015.d000.s036.t003	1) any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
semeval2015.d000.s036.t005	5) have an emotional or cognitive impact uponIn the given sentence, "affecting" is used to mean having
semeval2015.d000.s036.t008	1) primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as
semeval2015.d000.s036.t009	1) a state of surviving; remaining alive.
semeval2015.d000.s036.t010	2) a period of time considered as a resource under your control and sufficient to accomplish something.This definition of "times"
semeval2015.d000.s037.t000	1) the opposition or dissimilarity of things that are compared;
semeval2015.d000.s037.t001	1) a person who requires medical care.
semeval2015.d000.s037.t002	1) any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
semeval2015.d000.s037.t003	5) have an emotional or cognitive impact upon
semeval2015.d000.s037.t006	1) primarily temporal sense; indicating or being or seeming to be limited in duration.This definition best fits the context of the
semeval2015.d000.s037.t007	1) a state of surviving; remaining alive
semeval2015.d000.s037.t008	2) a period of time considered as a resource under your control and sufficient to accomplish something.In this sentence, "times
semeval2015.d001.s000.t000	1) of or pertaining to or of the nature of mathematics
semeval2015.d001.s000.t001	1) use as a basis for; found onThe word "based" in the sentence means to be supported or founded
semeval2015.d001.s001.t001	1) (usually followed by `of') having capacity or ability
semeval2015.d001.s001.t002	3) make or cause to be or to become
semeval2015.d001.s001.t003	2) easy and not involved or complicated
semeval2015.d001.s001.t004	10) (mathematics) calculation by mathematical methods.This definition is the most suitable because the sentence mentions "arithmetic"
semeval2015.d001.s001.t006	2) having a three-dimensional form or appearance.The sentence is referring to the capability of making 3D graphs, so
semeval2015.d001.s002.t000	2) used to imply that one would expect the fact to be the opposite of that stated; surprisinglyThis definition captures the
semeval2015.d001.s002.t002	1) absolutely essentialThe word "necessary" in the sentence means that it is absolutely essential or required to use MathML
semeval2015.d001.s002.t003	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
semeval2015.d001.s002.t004	1) put into service; make work or employ for a particular purpose or for its inherent or natural purposeThis definition most
semeval2015.d001.s004.t002	4) at the present moment
semeval2015.d001.s004.t003	1) put into service; make work or employ for a particular purpose or for its inherent or natural purposeThis definition best
semeval2015.d001.s004.t004	2) (quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `
semeval2015.d001.s004.t005	1) of or pertaining to or of the nature of mathematics
semeval2015.d001.s005.t000	1) in or at this place; where the speaker or writer is
semeval2015.d001.s005.t001	1) most important element
semeval2015.d001.s005.t002	8) (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen.
semeval2015.d001.s006.t000	1) most important element
semeval2015.d001.s006.t001	8) (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen
semeval2015.d001.s007.t000	1) most important element
semeval2015.d001.s007.t001	8) (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen.
semeval2015.d001.s007.t002	4) be composed ofThis definition accurately describes the meaning of "consists" in the given sentence, as the window
semeval2015.d001.s007.t003	2) a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially
semeval2015.d001.s007.t005	2) having a three-dimensional form or appearance.This definition is more general and can apply to various contexts, including computer graphics
semeval2015.d001.s008.t000	1) in or to a place that is lower
semeval2015.d001.s008.t001	2) discover or determine the existence, presence, or fact of
semeval2015.d001.s008.t002	1) signal going into an electronic system
semeval2015.d001.s008.t004	2) identify as belonging to a certain type.This definition is more closely related to the context of the sentence, as it
semeval2015.d001.s008.t005	7) a set sequence of steps, part of larger computer program.This definition best fits the context of the sentence, as
semeval2015.d001.s008.t006	2) carry out or perform an action.
semeval2015.d001.s008.t007	1) the procedure of calculating; determining something by mathematical or logical methods
semeval2015.d001.s009.t000	1) feel or have a desire for; want strongly
semeval2015.d001.s009.t001	1) know and comprehend the nature or meaning of
semeval2015.d001.s009.t002	11) cause to happen or to occur as a consequenceThe sentence is saying that in order to understand how something works,
semeval2015.d001.s009.t003	1) (superlative of `good') having the most positive qualities.In this context, "best" is used
semeval2015.d001.s009.t004	12) a separate and self-contained entity.This definition fits the context of the sentence, as "thing" is referring to
semeval2015.d001.s009.t005	2) carry out or perform an action
semeval2015.d001.s009.t006	1) be fully aware or cognizant of
semeval2015.d001.s009.t007	1) signal going into an electronic system.This definition best fits the meaning of "input" in the sentence, as it
semeval2015.d001.s009.t008	9) make (someone) agree, understand, or realize the truth or validity of something.In the given sentence, "
semeval2015.d001.s009.t010	2) unavoidably determined by prior circumstances.This definition of "necessary" implies that something is required or unavoidable, which fits
semeval2015.d001.s009.t011	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
semeval2015.d001.s010.t000	1) use as a basis for; found on
semeval2015.d001.s010.t004	1) not easy; requiring great physical or mental effort to accomplish or comprehend or endure
semeval2015.d001.s011.t001	2) in an attentive mannerThe sentence is describing the speaker's action of carefully examining or scrutinizing the syntax of the
semeval2015.d001.s011.t002	1) perceive with attention; direct one's gaze towards
semeval2015.d001.s011.t003	2) precisely so
semeval2015.d001.s011.t004	3) resembling or similar; having the same or some of the same characteristics; often used in combination
semeval2015.d001.s012.t000	6) the arithmetic operation of summing; calculating the sum of two or more numbers.
semeval2015.d001.s012.t001	2) the act of subtracting (removing a part from the whole)This definition directly describes the process of taking away
semeval2015.d001.s012.t002	3) an arithmetic operation that is the inverse of division; the product of two numbers is computed.This definition is the most
semeval2015.d001.s012.t003	11) an arithmetic operation that is the inverse of multiplication; the quotient of two numbers is computed.
semeval2015.d001.s013.t000	The most suitable dictionary definition of "Power" among the given options is:1) possession of controlling influenceThis definition captures
semeval2015.d001.s013.t001	The most suitable dictionary definition for "use" in the sentence is:1) put into service; make work or employ for
semeval2015.d001.s014.t001	1) capable of happening or existing
semeval2015.d001.s014.t002	1) put into service; make work or employ for a particular purpose or for its inherent or natural purpose
semeval2015.d001.s015.t000	5) one possessing or exercising power or influence or authority.
semeval2015.d001.s015.t001	10) doing as one pleases or choosesIn this sentence, "way" is used as a verb, meaning "
semeval2015.d001.s015.t003	1) (botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually
semeval2015.d001.s015.t004	2) in additionIn the sentence "Powers are one way to make roots too", "too" is used to
semeval2015.d001.s016.t000	11) a general category of things; used in the expression `in the way of'
semeval2015.d001.s016.t001	2) decide upon or fix definitely.The sentence is referring to specifying the bounded variable in a function, which means defining or
semeval2015.d001.s016.t003	4) a symbol (like x or y) that is used in mathematical or logical expressions to represent a quantity that can assume
semeval2015.d001.s016.t004	1) (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is
semeval2015.d001.s017.t000	3) use up, consume fullyThis definition of "used" implies that something has been employed or utilized to its maximum
semeval2015.d001.s017.t001	2) decide upon or fix definitely.This definition captures the meaning of "specify" as to determine or decide on something
semeval2015.d001.s017.t002	2) (literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like
semeval2015.d001.s017.t003	1) status established in order of importance or urgency
semeval2015.d001.s018.t001	2) discover or determine the existence, presence, or fact of
semeval2015.d001.s018.t002	7) a set sequence of steps, part of larger computer program.
semeval2015.d001.s018.t003	1) examine so as to determine accuracy, quality, or condition
semeval2015.d001.s018.t004	1) (mathematics) a symbol or function representing a mathematical operation.
semeval2015.d001.s019.t000	2) subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a
semeval2015.d001.s019.t001	1) (mathematics) a symbol or function representing a mathematical operation.
semeval2015.d001.s019.t003	2) subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a
semeval2015.d001.s019.t004	1) a person who makes use of a thing; someone who uses or employs something
semeval2015.d001.s019.t005	7) a set sequence of steps, part of larger computer program.This definition of "function" aligns with the context
semeval2015.d001.s020.t000	6) habitually do something (use only in the past tense)This definition of "used" implies that the action of
semeval2015.d001.s020.t001	2) give a definition for the meaning of a word
semeval2015.d001.s020.t002	1) a numerical quantity measured or assigned or computed
semeval2015.d001.s022.t000	10) doing as one pleases or chooses
semeval2015.d001.s022.t001	2) give a definition for the meaning of a word.
semeval2015.d001.s022.t002	2) imposing or depending on or containing a condition.This definition best fits the meaning of "conditional" in the context of
semeval2015.d001.s022.t003	10) (mathematics) calculation by mathematical methods.The sentence is referring to the definition of "operations" in the context
semeval2015.d001.s023.t000	The most suitable dictionary definition which identifies the meaning of "introduce" is:4) bring in a new person or object
semeval2015.d001.s023.t002	1) put into service; make work or employ for a particular purpose or for its inherent or natural purposeThis definition is
semeval2015.d001.s023.t005	1) consistent with fact or reality; not false; (adjective)
semeval2015.d001.s023.t006	2) discover or determine the existence, presence, or fact ofThis definition best matches the meaning of "finds"
semeval2015.d001.s023.t010	1) an occurrence of something.This definition fits the context of the sentence, where "instance" refers to a specific occurrence
semeval2015.d001.s025.t000	6) habitually do something (use only in the past tense)This definition of "used" matches the context of the
semeval2015.d001.s025.t001	2) give a definition for the meaning of a word
semeval2015.d001.s026.t001	1) being of use or service.
semeval2015.d001.s026.t002	1) exert oneself by doing mental or physical work for a purpose or out of necessity.
semeval2015.d001.s027.t000	4) at the present moment
semeval2015.d001.s027.t001	5) address a question to and expect an answer from
semeval2015.d001.s027.t002	1) a person who makes use of a thing; someone who uses or employs something.
semeval2015.d001.s028.t000	1) posing no difficulty; requiring little effort
semeval2015.d001.s028.t002	1) (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is
semeval2015.d001.s028.t003	1) ratio of the adjacent side to the hypotenuse of a right-angled triangle
semeval2015.d001.s028.t004	3) ratio of the length of the side opposite the given angle to the length of the hypotenuse of a right-
semeval2015.d001.s028.t005	4) very unusual; different in character or quality from the normal or expected; - Lance Morrow.This definition of "other
semeval2015.d001.s028.t008	2) a quantity obtained by the addition of a group of numbers.
semeval2015.d001.s028.t009	3) a quantity obtained by multiplication
semeval2015.d001.s030.t000	1) put into service; make work or employ for a particular purpose or for its inherent or natural purposeThis definition is
semeval2015.d001.s030.t001	2) the arithmetic operation of summing; calculating the sum of two or more numbers.
semeval2015.d001.s030.t002	2) an arithmetic operation that is the inverse of division; the product of two numbers is computed.In this context, "
semeval2015.d001.s030.t003	1) have or possess, either in a concrete or an abstract sense.
semeval2015.d001.s030.t004	1) (mathematics) a symbol or function representing a mathematical operation
semeval2015.d001.s031.t000	1) being of use or service
semeval2015.d001.s032.t000	1) in or at that place
semeval2015.d001.s032.t001	1) have or possess, either in a concrete or an abstract sense
semeval2015.d001.s032.t002	1) a database containing an ordered array of items (names or topics)This definition best matches the context of the sentence,
semeval2015.d001.s032.t003	2) a quantity that can assume any of a set of values.
semeval2015.d001.s033.t000	7) see or watch
semeval2015.d001.s033.t001	1) make it possible through a specific action or lack of action for something to happen
semeval2015.d001.s033.t002	1) cause to change; make different; cause a transformation.This definition is the most suitable for the sentence, as it
semeval2015.d001.s033.t003	2) the quality (positive or negative) that renders something desirable or valuable.In the given sentence, "values" refers
semeval2015.d001.s033.t004	6) exactly at this moment or the moment described.The word "just" in this context is used to indicate a specific
semeval2015.d001.s033.t005	10) doing as one pleases or chooses.In this context, "way" is used to mean a method or a
semeval2015.d001.s033.t007	3) a written record of messages sent or received.In this context, "log" is being used as a verb,
semeval2015.d001.s034.t000	5) the continuum of experience in which events pass from the future through the past
semeval2015.d001.s034.t002	3) the communication (in speech or writing) of your beliefs or opinions.This definition is the most suitable because the sentence
semeval2015.d001.s034.t003	2) a quantity that can assume any of a set of values.
semeval2015.d001.s034.t004	1) a numerical quantity measured or assigned or computed.
semeval2015.d001.s034.t005	2) undergo a change; become different in essence; losing one's or its original nature.This definition best captures the meaning
semeval2015.d001.s034.t006	2) coming after all others in time or space or degree or being the only one remaining
semeval2015.d001.s034.t007	2) a statement that solves a problem or explains how to solve the problem.In the given sentence, "result" is
semeval2015.d001.s035.t000	1) not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
semeval2015.d001.s035.t001	8) (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen.
semeval2015.d001.s036.t000	1) a segment of the trunk of a tree when stripped of branches.This definition is the most suitable for the context of
semeval2015.d001.s037.t000	3) transfer from a storage device to a computer's memory.In the context of the sentence "Ctrl L Load Script",
semeval2015.d001.s038.t000	5) carry out a process or program, as on a computer or a machine.
semeval2015.d001.s038.t001	1) a message describing how something is to be done
semeval2015.d001.s038.t002	1) a set of related records (either written or electronic) kept together
semeval2015.d001.s039.t000	5) exhibiting courtesy and politeness. This definition captures the meaning of "nice" as being friendly, courteous, and
semeval2015.d001.s039.t001	1) feel or have a desire for; want strongly.
semeval2015.d001.s039.t002	2) give a definition for the meaning of a word.
semeval2015.d001.s039.t003	2) a collection of literary documents or records kept for reference or borrowing.
semeval2015.d001.s039.t004	4) give a summary (of)In this context, "resume" is used as a verb meaning to summarize or update
semeval2015.d001.s039.t005	1) just preceding something else in time or order
semeval2015.d001.s039.t006	1) activity directed toward making or doing something
semeval2015.d001.s040.t000	11) record data on a computer.This definition is the most suitable for the sentence "Ctrl G Save Script" as it
semeval2015.d001.s041.t000	11) record data on a computer
semeval2015.d001.s041.t001	1) a message describing how something is to be done
semeval2015.d001.s041.t002	1) write by means of a keyboard with types
semeval2015.d001.s041.t003	2) have a beginning, in a temporal, spatial, or evaluative sense
semeval2015.d001.s041.t004	1) (usually followed by `to') having the necessary means or skill or know-how or authority to do something
semeval2015.d001.s042.t000	1) bring into existence
semeval2015.d001.s042.t002	1) posing no difficulty; requiring little effort
semeval2015.d001.s042.t003	12) make ready or suitable or equip in advance for a particular purpose or for some use, event, etc.This definition
semeval2015.d001.s042.t004	5) avail oneself toIn the given sentence, the word "using" is part of the verb phrase "using any
semeval2015.d001.s042.t005	2) (computer science) an application that can be used to create and view and edit text files.
semeval2015.d001.s043.t000	11) record data on a computer.
semeval2015.d001.s043.t001	3) a written record of messages sent or received.In the context of the sentence "Ctrl S Save Log", "Log
semeval2015.d001.s044.t000	11) record data on a computerThis definition best matches the meaning of "Saves" in the given sentence, as
semeval2015.d001.s044.t001	3) a written record of messages sent or received.In this sentence, "log" refers to a record or a log
semeval2015.d001.s044.t002	3) something that resultsIn the given sentence, "results" refers to the output or consequences of a process or action
semeval2015.d001.s044.t004	1) (usually followed by `to') having the necessary means or skill or know-how or authority to do something
semeval2015.d001.s044.t005	1) put into print
semeval2015.d001.s044.t006	2) prepare and issue for public distribution or sale.This definition best matches the context of the sentence, as the speaker is
semeval2015.d001.s045.t000	1) put an end to a state or an activity
semeval2015.d001.s046.t000	7) (computer science) a sequence of instructions that a computer can interpret and execute.
semeval2015.d001.s047.t000	1) make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope
semeval2015.d001.s047.t001	1) not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered.
semeval2015.d001.s047.t003	2) carry out or perform an action.This definition most accurately captures the meaning of "do" in the given sentence,
semeval2015.d001.s047.t004	1) change location; move, travel, or proceed, also metaphorically.
semeval2015.d001.s047.t006	1) make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope
semeval2015.d001.s047.t007	1) make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope
semeval2015.d001.s047.t008	1) not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
semeval2015.d001.s047.t009	1) (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is
semeval2015.d001.s048.t000	1) subsequently or soon afterward (often used as sentence connectors)
semeval2015.d001.s048.t001	1) the concentration of attention or energy on something.
semeval2015.d001.s048.t002	1) signal going into an electronic system
semeval2015.d001.s048.t003	1) the words of something written
semeval2015.d001.s048.t005	2) identify as belonging to a certain type.This definition best matches the meaning of "type" in the given sentence,
semeval2015.d001.s048.t006	2) what something is used forIn the sentence, "function" is used to describe the purpose or purpose of an
semeval2015.d001.s049.t000	1) feel or have a desire for; want strongly
semeval2015.d001.s049.t001	1) put into service; make work or employ for a particular purpose or for its inherent or natural purpose
semeval2015.d001.s049.t002	1) exhibiting the qualities or characteristics that identify a group or kind or categoryThis definition is the most suitable for the context
semeval2015.d001.s049.t004	2) unavoidably determined by prior circumstances.This definition best fits the context of the sentence, as it implies that specifying the
semeval2015.d001.s049.t005	2) decide upon or fix definitely.In the given sentence, the speaker is indicating that it's not necessary to provide a
semeval2015.d001.s050.t001	7) a set sequence of steps, part of larger computer program.This definition best fits the context of the sentence, as
semeval2015.d001.s050.t003	1) to show, make visible or apparent
semeval2015.d001.s050.t005	1) most important element.This definition is most suitable because in the sentence, "main window" implies that the window is
semeval2015.d001.s050.t006	8) (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen.
semeval2015.d001.s051.t000	The most suitable dictionary definition which identifies the meaning of "set" in the sentence is:6) fix in a border
semeval2015.d001.s051.t001	1) (used with count nouns) of an indefinite number more than 2 or 3 but not many
