senseval2.d000.s000.t000	The skillful and imaginative use of language or other media to express ideas and emotions.
semeval2013.d012.s001.t001	A loud and confused noise, especially that of people shouting vehemently.
semeval2013.d012.s001.t003	A unit of weight equal to 16 ounces or approximately 0.45 kilograms, commonly used in the United Kingdom and other
semeval2013.d012.s001.t005	The United States of America, a federal republic comprising 50 states, a federal district, five major self-governing territories
semeval2013.d012.s002.t000	Difficulties or issues that are causing distress or concern.
semeval2013.d012.s002.t001	A place where one lives permanently, especially as a member of a family or household.
semeval2013.d012.s002.t002	A group of companies or businesses that produce or supply a particular service or product.
semeval2013.d012.s002.t003	A company or organization that is very large and successful, especially in a particular industry or field.
semeval2013.d012.s002.t005	The United States of America, a country primarily located in North America, consisting of 50 states, a federal district, five
semeval2013.d012.s002.t006	A unit of currency equal to 100 cents, used in the United States and several other countries.
semeval2013.d012.s002.t008	Arguments or disagreements, especially about a particular point; a point of contention.
semeval2013.d012.s002.t009	A legal status of a person or other entity that cannot repay the debts it owes to creditors.
semeval2013.d012.s003.t000	A matter or problem under discussion or consideration, especially one that is important or difficult to resolve.
semeval2013.d012.s003.t001	The exchange of a commodity for money; the act of selling.
semeval2013.d012.s004.t000	An official or an organization that supervises, directs, or controls something, especially by enforcing rules or laws.
semeval2013.d012.s004.t001	A series or sequence of related things or events.
semeval2013.d012.s004.t002	Financial institutions licensed to receive deposits and make loans, as well as to provide other financial services such as wealth management, currency exchange
semeval2013.d012.s004.t003	A declaration or assurance that one will do something or that a particular thing will happen.
semeval2013.d012.s005.t000	The monetary worth of something, especially as determined by market forces or an assessment of its utility or desirability.
semeval2013.d012.s005.t001	Financial instruments that hold some type of monetary value, such as stocks, bonds, or options, which can be traded, bought
semeval2013.d012.s005.t002	A time of intense difficulty, trouble, or danger; a turning point or a critical time.
semeval2013.d012.s006.t000	A matter or problem under discussion or consideration, especially one that is in dispute or in need of resolution.
semeval2013.d012.s006.t004	A major city in the United States, located at the mouth of the Hudson River in the state of New York, known for
semeval2013.d012.s007.t000	A financial institution licensed to receive deposits and make loans, as well as to provide other financial services such as wealth management, currency
semeval2013.d012.s007.t002	An agreement or contract made between disputing parties to resolve a conflict or claim without admission of guilt or liability.
semeval2013.d012.s008.t000	A unit of currency used in the United States and several other countries, symbolized as $ and subdivided into 100 cents
semeval2013.d012.s009.t001	The quality of being responsive; quickness to respond to a situation or stimulus.
semeval2013.d012.s009.t002	Financial institutions licensed to receive deposits and make loans, as well as to provide other financial services such as wealth management, currency exchange
semeval2013.d012.s010.t002	The legal status of a person or entity that cannot repay the debts it owes to creditors.
semeval2013.d012.s010.t004	Money placed in an account with a financial institution, such as a bank or credit union, for safekeeping and to earn interest
semeval2013.d012.s011.t000	Money awarded to someone in recognition of loss, suffering, or injury.
semeval2013.d012.s011.t002	A thousand millions; 1,000,000,000.
semeval2013.d012.s012.t000	A community or village of houses, typically in a rural area.
semeval2013.d012.s013.t000	An official or an organization that supervises, directs, or controls a particular activity, industry, or institution, especially in the
semeval2013.d012.s013.t001	Financial institutions licensed to receive deposits and make loans, as well as to provide other financial services such as wealth management, currency exchange
semeval2013.d012.s013.t002	The warmest season of the year, occurring after spring and before autumn, during which the days are longest and the nights shortest
semeval2013.d012.s016.t000	The development of events beyond a person's control, regarded as determined by a supernatural power: "an early death was his fate
semeval2013.d012.s016.t001	An amount of people or things not specified exactly but understood to be more than two.
semeval2013.d012.s016.t002	An industrial or commercial business or concern, especially one engaged in trade, manufacturing, or services, and typically having a legal existence
semeval2013.d012.s017.t002	The point or period at which something is most intense, powerful, or successful.
semeval2013.d012.s017.t003	A time of intense difficulty, trouble, or danger; a time when a difficult or important decision must be made.
semeval2013.d012.s018.t000	Financial institutions that accept deposits from the public and create credit, as well as provide loans, investments, and other financial services.
semeval2013.d012.s018.t001	The natural movement of the air, especially in the form of a current of air blowing from a particular direction: "a cold
semeval2013.d012.s018.t002	The United States of America, a federal republic comprising 50 states, a federal district, five major self-governing territories
semeval2013.d012.s018.t003	A period of time equal to twelve months, as reckoned from a particular date or event.
semeval2013.d012.s019.t001	Government or other public authorities empowered to control or direct by authority; supervisory body.
semeval2013.d012.s019.t002	A count of individuals or things, or the quantity or extent of something.
semeval2013.d012.s019.t003	Demand for something considered to be one's due, especially money.
semeval2013.d012.s019.t004	Money awarded to someone in recognition of loss, suffering, or injury; reparation.
semeval2013.d012.s019.t005	Wrong or unlawful behavior; improper or illegal conduct.
semeval2013.d012.s020.t000	A large number of similar things or events that happen in quick succession.
semeval2013.d012.s020.t001	Demand for something as due or as a right; a request for payment of money that one considers to be owed.
semeval2013.d012.s021.t000	Financial institutions licensed to receive deposits and make loans, as well as to provide other financial services such as wealth management, currency exchange
semeval2013.d012.s021.t007	A unit of currency used in the United States and several other countries, symbolized as $ and subdivided into 100 cents
semeval2013.d012.s022.t002	The monetary worth of something, especially as determined by market forces or an official assessment.
semeval2013.d012.s022.t003	A unit of currency used in the United States and several other countries, symbolized as $, with various denominations in coins
semeval2013.d012.s023.t000	An official or an organization that supervises, directs, or controls a particular activity, industry, or institution, especially in the
semeval2013.d012.s023.t001	A financial institution licensed to receive deposits and make loans, or to engage in other financial activities such as issuing banknotes.
semeval2013.d012.s023.t002	The state or fact of having a duty to deal with something or of having control over someone: "the responsibility for a child
semeval2013.d012.s023.t004	A particular amount of money.
semeval2013.d012.s024.t000	Demand for something considered to be one's due, especially money; a request for payment or compensation.
semeval2013.d012.s024.t001	A person's aim or plan in doing something.
semeval2013.d012.s024.t002	Demand for something considered to be one's due, especially money; a request for payment or compensation.
semeval2015.d000.s000.t000	A written, printed, or electronic piece of information that provides evidence or serves as an official record.
semeval2015.d000.s000.t003	Of or for the people; open to all members of the community or the general public.
semeval2015.d000.s000.t004	The action or process of assessing or being assessed, especially with regard to one's performance or abilities.
semeval2015.d000.s000.t005	A document that presents information in an organized format for a specific audience and purpose.
semeval2015.d000.s001.t000	To make (something) clear or easy to understand: to describe or give an account of in a way that is easy to
semeval2015.d000.s001.t001	A group of people appointed for a specific function, typically consisting of more than one member, who are chosen for their expertise,
semeval2015.d000.s001.t003	Goods that are manufactured or refined for sale, especially those that are tangible and can be moved.
semeval2015.d000.s001.t004	Of, relating to, or characteristic of people.
semeval2015.d000.s001.t005	The act of employing for some purpose; the way in which something is or can be applied, utilized, or put to work
semeval2015.d000.s001.t006	To evaluate or estimate the nature, ability, or quality of something.
semeval2015.d000.s001.t007	A systematic investigation and study of materials and sources in order to establish facts and reach new conclusions.
semeval2015.d000.s001.t008	Carried out, executed, or accomplished (a task, action, or function).
semeval2015.d000.s001.t009	To arrive at (a destination, decision, or result) by moving or traveling.
semeval2015.d000.s001.t010	Judgments or suggestions as to the best course of action, especially issued as a result of formal deliberation.
semeval2015.d000.s001.t011	The act of employing for some purpose; the way in which something is or can be employed: "the use of a computer
semeval2015.d000.s001.t012	A substance or preparation used in treating disease and illness, especially a drug taken orally in tablet or capsule form.
semeval2015.d000.s002.t000	To require something because it is necessary or wanted: "We need to talk."
semeval2015.d000.s002.t001	Additional or further in quantity, degree, or extent.
semeval2015.d000.s002.t002	Facts or details about a subject or event, especially those based on research or study.
semeval2015.d000.s002.t003	Of or relating to the science or practice of medicine, especially the diagnosis, treatment, and prevention of disease.
semeval2015.d000.s002.t004	A state of health or a specific disease or ailment affecting a person.
semeval2015.d000.s002.t005	The management and care of a patient to combat a disease or disorder, including the prescription of drugs or surgery.
semeval2015.d000.s002.t006	To look at and comprehend the meaning of (written or printed matter) by interpreting the characters or symbols of which it is composed
semeval2015.d000.s002.t008	A small printed sheet of paper giving information or advertising something.
semeval2015.d000.s002.t010	A component or element of a whole.
semeval2015.d000.s002.t011	To get in communication with (someone) by telephone, email, or other means.
semeval2015.d000.s002.t012	A person who is qualified to treat people who are ill, especially one who has a medical degree and works in a hospital or
semeval2015.d000.s003.t000	Desire to have or obtain something.
semeval2015.d000.s003.t001	Additional or further in quantity, degree, or extent.
semeval2015.d000.s003.t002	Facts or details about a subject or event.
semeval2015.d000.s003.t003	The underlying support or reason for an action, argument, or process.
semeval2015.d000.s003.t004	Advice or a suggestion put forward as worthy of consideration; an official or authoritative proposal as to the best course of action.
semeval2015.d000.s003.t005	To look at and comprehend the meaning of (written or printed matter) by mentally interpreting the characters or symbols of which it is
semeval2015.d000.s003.t007	A detailed conversation or debate about a particular topic, often involving the exchange of ideas and opinions.
semeval2015.d000.s003.t009	A piece or segment of something, especially when it is one of several that make up a whole.
semeval2015.d000.s005.t000	A dry, finely ground substance, typically produced by crushing or grinding solid material.
semeval2015.d000.s005.t002	A liquid mixture in which the solute is completely dissolved in the solvent.
semeval2015.d000.s005.t003	The process of introducing a liquid, such as a drug or nutrient, into the bloodstream or tissues by slow injection or absorption.
semeval2015.d000.s005.t004	To cause (liquid) to flow or fall in drops: as in, drip into a vein.
semeval2015.d000.s005.t005	A blood vessel that carries blood toward the heart.
semeval2015.d000.s006.t000	To have or hold something within or as an essential or integral part.
semeval2015.d000.s006.t001	Causing or able to cause a change; effective in producing a result or effect.
semeval2015.d000.s006.t002	Matter that has a distinct and consistent composition and characteristic properties.
semeval2015.d000.s007.t000	Employed for or put into service for a particular purpose.
semeval2015.d000.s008.t000	Employed for or in the service of a specified purpose or activity.
semeval2015.d000.s008.t001	To manage the symptoms or course of a disease or disorder by means of medication or medical procedures.
semeval2015.d000.s008.t002	Categories or forms of something regarded as distinct from each other.
semeval2015.d000.s008.t003	A group of diseases characterized by the uncontrolled growth and spread of abnormal cells, which can invade and destroy healthy body tissue.
semeval2015.d000.s008.t006	A group of diseases characterized by the uncontrolled growth and spread of abnormal cells, which can invade and destroy healthy body tissue.
semeval2015.d000.s008.t007	The inner surface of a hollow organ or structure, especially when it is smooth and continuous.
semeval2015.d000.s008.t010	To bring about; be the reason for; result in.
semeval2015.d000.s009.t000	Employed for a particular purpose or in a particular way; utilized.
semeval2015.d000.s009.t003	A substance or preparation used in treating disease and illness, especially a drug or pills.
semeval2015.d000.s009.t004	A group of diseases characterized by the uncontrolled growth and spread of abnormal cells, which can invade and destroy healthy tissue and may
semeval2015.d000.s009.t005	Taken or put away from a particular place or situation.
semeval2015.d000.s009.t006	A medical procedure involving the manual and instrumental techniques on a patient to investigate or treat a pathological condition such as a disease or injury
semeval2015.d000.s009.t007	By oneself; not with or accompanied by anything or anyone else.
semeval2015.d000.s009.t009	To extend over or through an area or a group of people; to become more extensive or general.
semeval2015.d000.s009.t010	Having a good chance of happening or being true.
semeval2015.d000.s009.t011	To extend over or through an area or a group of people; to become more extensive or general.
semeval2015.d000.s009.t012	In a manner that is not difficult or complicated; without much effort.
semeval2015.d000.s009.t013	In addition to; besides; apart from.
semeval2015.d000.s009.t014	Divisions or sections of something, especially the human body.
semeval2015.d000.s009.t015	The physical structure of a person or an animal, including bones, flesh, blood, and organs.
semeval2015.d000.s009.t016	Individuals receiving or registered to receive medical treatment or advice for an illness or injury.
semeval2015.d000.s009.t020	Substances used in small quantities to treat, cure, or prevent disease, especially a drug or drug-like substance.
semeval2015.d000.s009.t021	A group of diseases characterized by the uncontrolled growth and spread of abnormal cells, which can invade and destroy healthy tissue and may
semeval2015.d000.s009.t022	In a disease, having progressed to a severe or serious stage.
semeval2015.d000.s009.t024	The smallest structural and functional unit of an organism, typically microscopic and consisting of cytoplasm and a nucleus enclosed in a membrane
semeval2015.d000.s009.t027	Influence or have an impact on.
semeval2015.d000.s010.t000	Employed for a particular purpose or in a particular way.
semeval2015.d000.s010.t002	Individuals who are receiving or have received medical treatment, especially in a hospital or clinic.
semeval2015.d000.s010.t004	Having received medical care or therapy for a disease or condition.
semeval2015.d000.s010.t005	Individuals who are receiving or have received medical treatment, especially in a hospital or clinic.
semeval2015.d000.s010.t007	A category of people or things regarded as having particular shared characteristics.
semeval2015.d000.s010.t009	Having happened or existed before; former or previous.
semeval2015.d000.s011.t000	A substance used in treating disease and illness, especially a drug or preparation with a specific physiological effect.
semeval2015.d000.s011.t001	Exclusively; merely; nothing else; not anything else.
semeval2015.d000.s011.t002	Acquired or secured, especially after an effort or search.
semeval2015.d000.s011.t003	A written order from a medical practitioner authorizing a patient to be supplied with a medicine or treatment.
semeval2015.d000.s012.t000	Employed for or put to a particular purpose or function.
semeval2015.d000.s013.t000	Used to emphasize that something is the case or happens to a particular extent: Alimta should be given exclusively under the supervision
semeval2015.d000.s013.t001	To present, offer, or provide (something) to someone.
semeval2015.d000.s013.t003	A person who is qualified and licensed to practice medicine, especially one who treats people rather than animals.
semeval2015.d000.s013.t004	To employ for some purpose; utilize: use a tool; use one's talents.
semeval2015.d000.s014.t000	A specific amount of a medicine, drug, or vaccine to be taken at one time or over a specified period.
semeval2015.d000.s014.t001	Milligram, a unit of mass in the metric system equal to one thousandth of a gram.
semeval2015.d000.s014.t003	The physical structure of a person or an animal, including bones, flesh, blood, and organs.
semeval2015.d000.s014.t005	Determined mathematically or by a formula; worked out.
semeval2015.d000.s014.t006	Employing for a specified purpose; in the process of; with the intention of.
semeval2015.d000.s014.t007	A person receiving or registered to receive medical treatment or advice.
semeval2015.d000.s014.t008	The measurement from the bottom to the top of a person or thing, typically expressed in feet and inches or centimeters and meters
semeval2015.d000.s014.t009	The force exerted by a body due to gravity, typically measured in kilograms or pounds.
semeval2015.d000.s015.t000	To administer or provide (a drug, treatment, etc.) to someone.
semeval2015.d000.s015.t001	At one time; on one occasion.
semeval2015.d000.s015.t002	At fixed or regular intervals; periodically.
semeval2015.d000.s015.t003	A period of seven days, typically used to measure time.
semeval2015.d000.s015.t005	The process of introducing a liquid slowly into a vein, especially a medicinal substance.
semeval2015.d000.s015.t006	Continuing to exist, be effective, or be in operation over a period of time.
semeval2015.d000.s015.t007	A unit of time equal to 60 seconds, or 1/60th of an hour.
semeval2015.d000.s016.t000	To make (something) smaller or less in amount, degree, or size.
semeval2015.d000.s016.t001	Undesirable or harmful effects that occur in addition to the desired therapeutic effect of a drug or medical treatment.
semeval2015.d000.s016.t002	Individuals receiving medical care or treatment from a physician or other health care professional.
semeval2015.d000.s016.t006	A particular variety, form, or class of something.
semeval2015.d000.s016.t008	The act of administering a liquid, especially a drug or vaccine, into a person's body using a needle and syringe.
semeval2015.d000.s016.t010	The management and care of a patient to combat a disease or disorder.
semeval2015.d000.s017.t000	To administer or provide (a drug, treatment, etc.) to someone.
semeval2015.d000.s017.t001	A substance or preparation used in treating disease and illness, especially a pill, liquid, or injection.
semeval2015.d000.s017.t002	To keep from happening; to stop from occurring or arising.
semeval2015.d000.s017.t004	A substance that has a free surface and is not a solid, especially a liquid.
semeval2015.d000.s017.t005	To keep from happening; to stop from occurring or arising.
semeval2015.d000.s017.t006	The condition that results when the body loses more fluid than it takes in, causing it to not have enough water and other fluids
semeval2015.d000.s017.t008	To administer or provide (a drug, treatment, etc.) to someone.
semeval2015.d000.s017.t009	At or at an earlier time than the time of (an event or action).
semeval2015.d000.s017.t010	Following in time; subsequently.
semeval2015.d000.s017.t011	A measured quantity of a medicine or drug to be taken at one time.
semeval2015.d000.s018.t000	The management and care of a patient to combat a disease or disorder.
semeval2015.d000.s018.t001	Caused to happen at a later time than originally planned, scheduled, or expected.
semeval2015.d000.s018.t002	Cease operation or activity; bring to an end.
semeval2015.d000.s018.t003	A measured quantity of a medicine or drug to be taken at one time.
semeval2015.d000.s018.t004	Made or become smaller or less in amount, degree, or size.
semeval2015.d000.s018.t005	Individuals who are receiving medical care or treatment from a physician or other health care professional.
semeval2015.d000.s018.t006	The number and types of cells in a volume of blood, typically measured to assess health or diagnose disease.
semeval2015.d000.s018.t007	Deviating from what is normal or usual, typically in an undesirable or medically significant way.
semeval2015.d000.s018.t008	To possess, own, or hold (something).
semeval2015.d000.s018.t009	Of these specified; some; particular.
semeval2015.d000.s018.t010	In addition to; besides; also.
semeval2015.d000.s018.t011	Undesirable or harmful effects resulting from a drug or medical treatment.
semeval2015.d000.s019.t002	The act of employing something for a particular purpose or the act of utilizing something in a specific way.
semeval2015.d000.s019.t003	Individuals who are receiving or registered to receive medical treatment or advice for a disease or ailment.
semeval2015.d000.s019.t004	Of average degree; not extreme or intense.
semeval2015.d000.s019.t005	Extremely serious or intense; grave.
semeval2015.d000.s019.t007	Difficulties or issues that prevent normal progress or functioning.
semeval2015.d000.s020.t000	Of a greater amount, degree, or intensity than is usual, normal, or expected.
semeval2015.d000.s020.t001	Knowledge communicated or received concerning a particular fact or circumstance.
semeval2015.d000.s020.t002	To look at (something) or visit (a place) in order to gain information or satisfy one's curiosity.
semeval2015.d000.s020.t004	An article or commodity that is made or grown to be sold, especially one that is manufactured in large quantities.
semeval2015.d000.s020.t006	A component or element of a whole.
semeval2015.d000.s022.t000	Producing a desired or intended effect, especially a pharmacological effect.
semeval2015.d000.s022.t001	A substance is a particular kind of matter with uniform properties. It is a form of matter that has constant chemical composition and characteristic
semeval2015.d000.s022.t003	A substance used in small quantities especially to treat or prevent disease or illness.
semeval2015.d000.s022.t004	A substance used in small quantities especially to treat or prevent disease or illness.
semeval2015.d000.s022.t005	To cause the death of (a living organism or cell).
semeval2015.d000.s022.t006	The smallest structural and functional units of an organism, typically microscopic and consisting of cytoplasm and a nucleus enclosed in a membrane
semeval2015.d000.s022.t007	The process of splitting into two or more parts, especially cells during mitosis or meiosis.
semeval2015.d000.s023.t000	The physical structure of a person or an animal, including all the organs, tissues, and systems.
semeval2015.d000.s023.t001	Changed (something) into a different form, especially by a chemical reaction.
semeval2015.d000.s023.t002	Functioning or operating in a way that produces a result or effect.
semeval2015.d000.s023.t003	A particular shape, structure, or appearance of something, especially as it relates to a chemical substance or compound.
semeval2015.d000.s023.t004	To prevent (a substance or process) from functioning or operating.
semeval2015.d000.s023.t007	Participating or having a role in a process or activity.
semeval2015.d000.s023.t008	Causing or bringing about the creation or formation of something.
semeval2015.d000.s023.t010	The basic materials or elements from which something is constructed or composed.
semeval2015.d000.s023.t013	Of or relating to genes or heredity; determined by genes.
semeval2015.d000.s023.t014	A substance of which a thing is made or composed; matter.
semeval2015.d000.s023.t015	The smallest structural and functional unit of an organism, typically microscopic and consisting of cytoplasm and a nucleus enclosed in a membrane
semeval2015.d000.s024.t000	To examine or investigate (someone or something) methodically and in detail, typically in order to establish facts and reach new conclusions
semeval2015.d000.s025.t000	The management and care of a patient for the purpose of combating a disease or disorder.
semeval2015.d000.s025.t004	To examine or investigate (a person, animal, or thing) systematically in order to establish facts and reach new conclusions.
semeval2015.d000.s025.t005	Of the most important; chief; principal.
semeval2015.d000.s025.t006	A systematic investigation and detailed examination of materials and sources in order to establish facts and reach new conclusions.
semeval2015.d000.s025.t007	Individuals who are receiving or have received medical treatment, especially in a hospital or clinic.
semeval2015.d000.s025.t012	At an earlier time; previously.
semeval2015.d000.s026.t000	The results or outcomes of an action or situation.
semeval2015.d000.s026.t002	To examine (two or more things) in order to note similarities and differences.
semeval2015.d000.s027.t000	The management and care of a patient for the purpose of combating a disease or disorder, including the prescription of drugs, surgery,
semeval2015.d000.s027.t001	The smallest structural and functional unit of an organism, typically microscopic and consisting of cytoplasm and a nucleus enclosed in a membrane
semeval2015.d000.s027.t003	The results or outcomes of an action, process, or event, especially the beneficial or harmful consequences.
semeval2015.d000.s027.t004	To examine or estimate the similarities and/or differences between two or more items, typically with the aim of establishing a relationship or determining
semeval2015.d000.s027.t006	A substance or preparation used in treating disease or illness, especially a pill, liquid, or injection.
semeval2015.d000.s027.t007	A systematic investigation and analysis of materials and sources in order to establish facts and reach new conclusions.
semeval2015.d000.s027.t008	Including or containing as a part or element; comprising.
semeval2015.d000.s027.t009	Individuals who are receiving or have received medical treatment, especially in a hospital or clinic.
semeval2015.d000.s027.t010	In or situated near a particular place or thing; not widespread or general.
semeval2015.d000.s027.t011	Progressed to a more severe or serious stage; having developed beyond the early stages of a disease or condition.
semeval2015.d000.s027.t016	Having already happened, occurred, or existed at or before a particular time or in a person's life.
semeval2015.d000.s028.t001	To examine or estimate the nature, quality, or importance of (something) by making systematic comparisons.
semeval2015.d000.s028.t003	A substance or preparation used in treating disease and illness, especially a drug or pills.
semeval2015.d000.s028.t005	A systematic investigation and analysis of materials and sources in order to establish facts and reach new conclusions.
semeval2015.d000.s028.t006	Including or containing as a necessary part or result; comprising.
semeval2015.d000.s028.t007	Individuals who are receiving or who have received medical treatment, especially in a hospital or clinic.
semeval2015.d000.s028.t012	Before the present or recent times; formerly.
semeval2015.d000.s029.t000	A systematic investigation and study of materials and sources in order to establish facts and reach new conclusions.
semeval2015.d000.s029.t001	Of the most important; chief; principal.
semeval2015.d000.s029.t002	A standard unit or method used for determining, comparing, or assessing the size, amount, or degree of something.
semeval2015.d000.s029.t004	Of great or considerable duration or extent; lasting for a significant period of time.
semeval2015.d000.s029.t005	Individuals who are receiving or registered to receive medical treatment or advice for an illness or injury.
semeval2015.d000.s029.t006	To continue to live or exist, especially in spite of danger or hardship.
semeval2015.d000.s030.t000	An advantage or profit gained from something.
semeval2015.d000.s030.t001	To have demonstrated or displayed (something) by one's actions, appearance, or behavior.
semeval2015.d000.s030.t002	A systematic investigation and study of materials and sources in order to establish facts and reach new conclusions.
semeval2015.d000.s031.t000	To become greater in size, amount, intensity, or degree.
semeval2015.d000.s031.t001	The continuation of life or existence, especially after a serious illness or injury.
semeval2015.d000.s031.t002	The indefinite continued progress of existence and events regarded as a whole: the time since we last met.
semeval2015.d000.s031.t003	Individuals who are receiving or registered to receive medical treatment or advice for a disease or ailment.
semeval2015.d000.s032.t000	Individuals who are receiving medical care or treatment from a physician or in a hospital or clinic.
semeval2015.d000.s032.t002	Remained alive after a particular event or period of time, especially after a disease or medical treatment.
semeval2015.d000.s032.t003	A value representing the sum of a set of quantities divided by the number of quantities.
semeval2015.d000.s032.t004	A unit of time equal to approximately 30.44 days, or one-twelfth of a year.
semeval2015.d000.s032.t005	Used to indicate that two or more people or things are being considered together in terms of their similarities and/or differences.
semeval2015.d000.s032.t006	A unit of time equal to approximately 30.44 days, or one-twelfth of a year.
semeval2015.d000.s033.t000	The management and care of a patient to combat a disease or disorder.
semeval2015.d000.s033.t001	Individuals who are receiving medical care or treatment from a physician or in a hospital or clinic.
semeval2015.d000.s033.t002	The smallest structural and functional unit of an organism, typically microscopic and consisting of cytoplasm and a nucleus enclosed in a membrane
semeval2015.d000.s033.t005	Producing a desired or intended result; successful in producing a result; efficient.
semeval2015.d000.s034.t000	Individuals who are receiving or have received medical treatment, especially in a hospital or clinic.
semeval2015.d000.s034.t003	A time before the present or before a specified time.
semeval2015.d000.s034.t004	A value representing the central or typical value in a set of data, calculated by adding all the numbers and then dividing by the
semeval2015.d000.s034.t005	The continuation of life or existence, especially after a serious illness or injury.
semeval2015.d000.s034.t006	The indefinite continued or measured duration during which an action, process, or condition exists or continues.
semeval2015.d000.s034.t007	A unit of time equal to approximately 30.44 days, or one-twelfth of a year, used for measuring the
semeval2015.d000.s034.t008	To examine or estimate (two or more things) in order to show how they are similar or different.
semeval2015.d000.s034.t009	A unit of time equal to approximately 30.44 days, or one-twelfth of a year, used for measuring the
semeval2015.d000.s035.t000	Individuals who are receiving or have received medical treatment, especially in a hospital or clinic.
semeval2015.d000.s035.t004	Before the present or a specified time; formerly.
semeval2015.d000.s035.t005	A value representing the central or typical value in a set of data, calculated by adding all the numbers and then dividing by the
semeval2015.d000.s035.t006	The continuation of life or existence, especially in spite of an accident, ordeal, or difficult circumstances.
semeval2015.d000.s035.t007	The indefinite continued progress of existence and events in the past, present, and future regarded as a whole: a concept measured by
semeval2015.d000.s035.t008	A unit of time equal to approximately 30.44 days, or one-twelfth of a year, used in the Greg
semeval2015.d000.s035.t009	A set of people or things regarded as being similar in important ways, especially for the purpose of a scientific study or statistical analysis
semeval2015.d000.s036.t000	Used to introduce a statement that contrasts with or seems to contradict something that has been said previously.
semeval2015.d000.s036.t001	A systematic investigation and study of materials and sources in order to establish facts and reach new conclusions.
semeval2015.d000.s036.t002	Individuals who are receiving or have received medical treatment, especially in a hospital or clinic.
semeval2015.d000.s036.t003	A group of diseases characterized by the uncontrolled growth and spread of abnormal cells, which can invade and destroy healthy body tissue and
semeval2015.d000.s036.t005	Influence or make a difference to; have an impact on.
semeval2015.d000.s036.t008	Of greater length or duration in time.
semeval2015.d000.s036.t009	The continuation of life or existence, especially in reference to the length of time a person or organism lives.
semeval2015.d000.s036.t010	Instances or periods when something happens or is the case.
semeval2015.d000.s037.t000	The state of being strikingly different from something else, typically something in juxtaposition or close association.
semeval2015.d000.s037.t001	Individuals who are receiving medical care or treatment from a physician or in a hospital.
semeval2015.d000.s037.t002	A group of diseases characterized by the uncontrolled growth and spread of abnormal cells, which can invade and destroy healthy body tissue and
semeval2015.d000.s037.t003	Influence or make a difference to; have an impact on.
semeval2015.d000.s037.t006	Of lesser length or duration in time; not as long.
semeval2015.d000.s037.t007	The state of continuing to live or exist, especially in spite of an accident, ordeal, or difficult circumstances.
semeval2015.d000.s037.t008	Periods during which an event or condition exists or continues.
semeval2015.d001.s000.t000	Of or relating to mathematics; involving or using mathematical methods or concepts.
semeval2015.d001.s000.t001	Founded on or constituted by; depending on: a theory based on a hypothesis.
semeval2015.d001.s001.t001	Having the ability, fitness, or quality necessary to do or achieve a specified thing.
semeval2015.d001.s001.t002	To create or construct something, especially by combining components or following a set of instructions or a process.
semeval2015.d001.s001.t003	Easily understood or done; not complex or complicated.
semeval2015.d001.s001.t004	Actions or processes carried out to achieve a particular end, especially the manipulation of numbers or data.
semeval2015.d001.s001.t006	Existing in three dimensions; having length, width, and depth.
semeval2015.d001.s002.t000	In fact; in reality; as a matter of fact.
semeval2015.d001.s002.t002	Required; needed: "It is not necessary to know MathML to use kalgebra."
semeval2015.d001.s002.t003	To be acquainted with or familiar with; have knowledge or information about.
semeval2015.d001.s002.t004	To employ for some purpose; put into service; utilize.
semeval2015.d001.s004.t002	At the present time; at this moment.
semeval2015.d001.s004.t003	Employ for some purpose or in some capacity: "The tool is used for cutting wood."
semeval2015.d001.s004.t004	Of small amount or degree; not much.
semeval2015.d001.s004.t005	Of or relating to mathematics; involving or using mathematical methods or concepts.
semeval2015.d001.s005.t000	Used to draw attention to something or to introduce something: "Here is the book you asked for."
semeval2015.d001.s005.t001	Of, forming, or serving as the most important or prominent part; primary: the main function of the machine.
semeval2015.d001.s005.t002	An opening in the wall or roof of a building or vehicle that is fitted with glass or other transparent material in a frame to
semeval2015.d001.s006.t000	Of the greatest importance; chief; principal: the main object.
semeval2015.d001.s006.t001	An opening in the wall or roof of a building or vehicle that is fitted with glass or other transparent material in a frame to
semeval2015.d001.s007.t000	Of primary importance, chief, or most significant in a group, organization, or structure.
semeval2015.d001.s007.t001	An area on a computer screen where a program's user interface is displayed, typically containing controls and information relevant to the program's
semeval2015.d001.s007.t002	Be composed of; be made up of: "The main window consists of a Console tab, a 2D Graph tab
semeval2015.d001.s007.t003	A section of a user interface that displays and allows the user to interact with the output of a program or system.
semeval2015.d001.s007.t005	Having three dimensions; having length, width, and depth.
semeval2015.d001.s008.t000	At a lower level or layer; underneath.
semeval2015.d001.s008.t001	To discover or perceive by chance or unexpectedly; come upon; encounter.
semeval2015.d001.s008.t002	Something (such as data or a command) that is entered into a computer or other machine for processing.
semeval2015.d001.s008.t004	To input or enter (letters, words, etc.) on a computer or other electronic device using a keyboard.
semeval2015.d001.s008.t005	In mathematics, a function is a relation between a set of inputs and a set of permissible outputs with the property that each input
semeval2015.d001.s008.t006	To perform an action or activity; to carry out or execute.
semeval2015.d001.s008.t007	The process of using mathematical operations to determine a numerical result or to solve a problem.
semeval2015.d001.s009.t000	Desire to have or obtain something or for something to happen.
semeval2015.d001.s009.t001	To grasp the meaning, significance, or nature of something; comprehend.
semeval2015.d001.s009.t002	Function or operation, especially of a machine or system.
semeval2015.d001.s009.t003	Of the highest quality or most suitable; most excellent or desirable.
